funding_time,product_id,funding_rate,index_price,settlement_price,mid,price,open_interest,volume_24h,fetched_at
2026-09-04T21:00:00Z,US5-19DEC30-CDE,-9e-06,3109.705288,3124.3,3119.6,3108.4,1288,3665,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,XLP-20DEC30-CDE,4e-06,0.179635,0.18797,0.178525,0.17923,3820,7797,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,XPP-20DEC30-CDE,-5e-06,1.400815,1.4734,1.39955,1.3997,48880,135315,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,ZEC-20DEC30-CDE,7e-06,1023.673258,970,1027.95,1024.55,8196,79455,2026-09-04T21:25:07Z
2026-09-04T23:00:00Z,ADP-20DEC30-CDE,-3e-06,0.210041,0.2224,0.21035,0.2104,9681,36559,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,AVE-20DEC30-CDE,1e-06,129.725729,134.17,129.805,129.77,982,3333,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,AVP-20DEC30-CDE,-4.4e-05,7.344058,7.53,7.345,7.35,7699,6573,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,BCP-20DEC30-CDE,1.3e-05,249.127905,259.65,249.2,249.1,1657,38503,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,BIP-20DEC30-CDE,5e-06,79627.843639,81805,79667.5,79645,173830,732077,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,BNB-20DEC30-CDE,1.3e-05,718.931024,724.55,719.125,720.9,365,787,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,DOP-20DEC30-CDE,8e-06,0.084551,0.08934,0.08456,0.08449,2454,9670,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,ENA-20DEC30-CDE,-7e-06,0.162666,0.17095,0.162945,0.16276,1163,15099,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,ETP-20DEC30-CDE,1e-05,2450.85194,2519,2452.25,2451,319396,348206,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,HEP-20DEC30-CDE,-1e-06,0.077706,0.07969,0.077715,0.07777,2239,16245,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,HYP-20DEC30-CDE,1.9e-05,83.97814,85.88,84.125,83.91,9250,20931,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,LCP-20DEC30-CDE,-2.7e-05,50.724679,51.67,50.73,50.65,3178,4926,2026-09-04T23:04:30Z
2026-09-04T23:00:00Z,LNP-20DEC30-CDE,4e-06,11.598303,11.855,11.597,11.596,4294,8967,2026-09-04T23:04:30Z
